"clinton1.htm | Question 0"
"Bloomberg Politics Poll conducted by Selzer & Company. March 19-22, 2016. N=1,000 adults nationwide. Margin of error ± 3.1."
"I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so. Bill Clinton, former president of the United States."
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""2/1-4/01""",51,48,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""12/2-4/00""",57,41,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""11/13-15/00""",57,41,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""10/25-28/00""",54,44,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/18-19/00""",48,48,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/4-5/00""",42,54,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""4/28-30/00""",47,51,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""12/9-12/99""",45,53,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""9/23-26/99""",54,45,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/3-4/99""",52,46,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""7/22-25/99""",57,41,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/25-27/99""",48,50,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""4/30 - 5/2/99""",53,45,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""4/13-14/99""",51,47,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/5-8/99""",54,43,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/19-21/99""",55,43,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/4-8/99""",55,44,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/8-10/99""",58,40,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""12/28-29/98""",56,42,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""12/4-6/98""",56,40,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""11/20-22/98""",57,40,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""11/19/98""",52,46,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""10/9-12/98""",54,43,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""9/14-15/98""",51,47,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/21-23/98""",55,43,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/20/98""",53,43,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/18/98""",55,42,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/10-12/98""",60,38,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""8/7-8/98""",58,40,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""6/5-7/98""",61,36,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/20-22/98""",60,35,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""3/16/98""",60,37,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/20-22/98""",64,34,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""2/13-15/98""",58,39,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/30 - 2/1/98""",65,34,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/28/98""",63,32,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/25-26/98""",53,43,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/24-25/98""",58,39,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll
"=""1/23-24/98""",57,40,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Gallup Poll. May 6-10, 2015. N=1,024 adults nationwide. Margin of error ± 4.","""Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people -- or if you have never heard of them. How about Bill Clinton?""",Gallup Poll






"clinton1.htm | Question 5"
"CBS News Poll and, where noted, CBS News/New York Times Poll."
"Is your opinion of Bill Clinton favorable, not favorable, undecided, or haven't you heard enough about Bill Clinton yet to have an opinion?"
manually enter poll





"clinton1.htm | Question 6"
"Fox News Poll conducted by Anderson Robbins Research (D) and Shaw & Company Research (R). April 20-22, 2013. N=1,009 registered voters nationwide. Margin of error ± 3."
"I'm going to read you the names of several individuals and groups. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of someone please just say so. Bill Clinton."
manually enter poll





"clinton1.htm | Question 7"
"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3."
"Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?"
date,very favorable,mostly favorable,mostly unfavorable,very unfavorable,can't rate (vol.)/refused,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/8-14/11""",27,40,18,10,3,1525,3,a,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""2/08""",20,32,20,22,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""12/07""",22,32,20,20,6,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""12/06""",29,34,17,16,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""4/06""",27,34,18,18,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""10/12-24/05""",26,36,16,18,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""3/17-27/05""",24,40,19,13,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""12/02""",17,29,22,27,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""7/01""",20,30,19,27,4,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""1/01""",23,41,17,17,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""5/00""",17,31,19,28,5,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""3/24-30/99""",21,34,19,23,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""12/9-13/98""",23,32,19,24,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""10/98""",15,37,20,24,4,,,rv,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""8/27 - 9/8/98""",18,39,18,23,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""8/21-24/98""",18,36,20,24,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""3/25-29/98""",22,40,19,16,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""11/97""",19,44,21,14,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""9/97""",18,44,21,14,3,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""8/97""",16,45,21,17,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""4/97""",17,44,21,16,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center
"=""1/97""",17,49,18,14,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"Pew Research Center. March 8-14, 2011. N=1,525 adults nationwide. Margin of error ± 3.","""Now I'd like your views on some people and things in the news. . . . Would you say your overall opinion of Bill Clinton is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?""",Pew Research Center






"clinton1.htm | Question 8"
"AP-GfK Poll conducted by GfK Roper Public Affairs & Media. Nov. 3-8, 2010. N=1,000 adults nationwide. Margin of error ± 4.1."
"Do you have a favorable or unfavorable impression of Bill Clinton?"
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""11/3-8/10""",66,33,1,1000,4,a,favorability,http://www.pollingreport.com/clinton1.htm,"AP-GfK Poll conducted by GfK Roper Public Affairs & Media. Nov. 3-8, 2010. N=1,000 adults nationwide. Margin of error ± 4.1.","""Do you have a favorable or unfavorable impression of Bill Clinton?""",AP-GfK Poll conducted by GfK Roper Public Affairs & Media
"=""8/11-16/10""",65,33,2,,,,favorability,http://www.pollingreport.com/clinton1.htm,"AP-GfK Poll conducted by GfK Roper Public Affairs & Media. Nov. 3-8, 2010. N=1,000 adults nationwide. Margin of error ± 4.1.","""Do you have a favorable or unfavorable impression of Bill Clinton?""",AP-GfK Poll conducted by GfK Roper Public Affairs & Media
"=""6/9-14/10""",65,34,1,,,,favorability,http://www.pollingreport.com/clinton1.htm,"AP-GfK Poll conducted by GfK Roper Public Affairs & Media. Nov. 3-8, 2010. N=1,000 adults nationwide. Margin of error ± 4.1.","""Do you have a favorable or unfavorable impression of Bill Clinton?""",AP-GfK Poll conducted by GfK Roper Public Affairs & Media






"clinton1.htm | Question 9"
"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4."
"Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton."
date,very positive,some- what positive,neutral,some- what negative,very negative,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""12/5-8/08""",23,26,21,12,17,1,,4,a,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""8/15-18/08""",20,25,16,19,20,-,,,rv,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""6/6-9/08""",16,24,17,17,25,1,,,rv,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""4/25-28/08""",18,21,18,18,24,1,,,rv,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""3/24-25/08""",20,22,15,18,25,-,,,rv,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""3/7-10/08""",20,22,11,13,32,2,,,rv,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
"=""4/21-24/06""",27,23,16,12,21,1,,,,thermometer,http://www.pollingreport.com/clinton1.htm,"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R). Dec. 5-8, 2008. N=approx. 500 adults nationwide. Margin of error ± 4.4.","""Now I'm going to read you the names of several public figures, and I'd like you to rate your feelings toward each one as either very positive, somewhat positive, neutral, somewhat negative, or very negative. If you don't know the name, please just say so. Bill Clinton.""",NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Bill McInturff (R)
