"bushfav2.htm | Question 0"
"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3."
"Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know."
date,favorable,unfavorable,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""10/19-21/04""",51,42,8,1059,3,rv,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""10/14-15/04""",49,40,11,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""10/6-7/04""",48,42,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""9/21-23/04""",49,37,13,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""9/7-9/04""",54,38,8,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/31 - 9/2/04""",52,40,8,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/24-26/04""",46,39,16,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""8/3-5/04""",45,45,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"
"=""7/20-22/04""",45,46,10,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs. Oct. 19-21, 2004. N=1,059 registered voters nationwide. MoE ± 3.","""Please tell me if you have a favorable or unfavorable opinion of George W. Bush. If you don't have an opinion of this candidate, just let me know.""","Time Poll conducted by Schulman, Ronca & Bucuvalas (SRBI) Public Affairs"






"bushfav2.htm | Question 1"
"University of Pennsylvania National Annenberg Election Survey. Oct. 1-6, 2004. N=1,868 registered voters nationwide. MoE ± 2. Interviewing conducted by Schulman, Ronca, Bucuvalas, Inc.   "
"Please tell me if your opinion is favorable or unfavorable, using a scale from 0 to 10. Zero means very unfavorable, and 10 means very favorable. Five means you do not feel favorable or unfavorable toward that person. Of course you can use any number between 0 and 10. The person is George W. Bush. On a scale of 0 to 10, how would you rate George W. Bush?"
manually enter poll





"bushfav2.htm | Question 2"
"Investor's Business Daily/Christian Science Monitor poll conducted by TIPP, the polling arm of TechnoMetrica Market Intelligence. Aug. 2-5, 2004. N=938 adults nationwide. MoE ± 3.1.  "
"Now moving on to the topic of presidential leadership. Overall, is your opinion of George W. Bush generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?"
date,favorable,unfavorable,not familiar,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/16-22/04""",45,34,18,2,1,,,,favorability,http://www.pollingreport.com/bushfav2.htm,"Quinnipiac University Poll. July 18-22, 2004. N=1,551 registered voters nationwide. MoE ± 2.5. ","""Is your opinion of George W. Bush favorable, unfavorable, mixed, or haven't you heard enough about him?""",Quinnipiac University Poll






"bushfav2.htm | Question 4"
"University of Pennsylvania National Annenberg Election Survey. Nov. 28-Dec. 1, 2003. N=847 adults nationwide. MoE ± 3. "
"Now I'd like to ask you how you feel about George W. Bush as a person, as opposed to how you feel about the job he is doing. Do you have a favorable or unfavorable opinion of him as a person?"
date,favor- able,unfavorable,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""11/28 - 12/1/03""",72,19,9,847,3,a,unknown,http://www.pollingreport.com/bushfav2.htm,"University of Pennsylvania National Annenberg Election Survey. Nov. 28-Dec. 1, 2003. N=847 adults nationwide. MoE ± 3. ","""Now I'd like to ask you how you feel about George W. Bush as a person, as opposed to how you feel about the job he is doing. Do you have a favorable or unfavorable opinion of him as a person?""",University of Pennsylvania National Annenberg Election Survey
"=""11/23-26/03""",65,24,11,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"University of Pennsylvania National Annenberg Election Survey. Nov. 28-Dec. 1, 2003. N=847 adults nationwide. MoE ± 3. ","""Now I'd like to ask you how you feel about George W. Bush as a person, as opposed to how you feel about the job he is doing. Do you have a favorable or unfavorable opinion of him as a person?""",University of Pennsylvania National Annenberg Election Survey






"bushfav2.htm | Question 5"
"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1."
"Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush."
date,favor- able,unfavorable,not familiar,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""3/27/03""",67,30,2,1,1014,3,a,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""12/17-18/02""",61,35,3,1,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""8/28-29/02""",69,27,2,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""5/22-23/02""",75,20,3,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""3/13-14/02""",76,19,3,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""11/7-8/01""",89,9,1,1,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""7/17-18/01""",58,36,5,1,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""3/21-22/01""",56,35,6,3,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""2/7-8/01""",60,28,6,6,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""1/10-11/01""",58,32,5,5,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""11/10/00""",58,36,4,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""10/25-26/00""",58,33,7,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""10/12-13""",54,37,7,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""10/4-5""",56,33,7,4,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""9/6-7/00""",54,34,9,3,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""8/9-10/00""",62,28,8,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""7/26-27/00""",61,28,9,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""6/14-15/00""",61,27,9,3,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""3/8-9/00""",53,34,11,2,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""2/2-3/00""",54,25,18,3,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""1/12-13/00""",57,24,15,4,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""9/21-23/99""",63,23,11,4,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""7/14-15/99""",62,20,15,3,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive
"=""6/9-10/99""",62,21,13,4,,,,unknown,http://www.pollingreport.com/bushfav2.htm,"Time/CNN Poll conducted by Harris Interactive. March 27, 2003. N=1,014 adults nationwide. MoE ± 3.1.","""Next, I'm going to read you the names of some people in the news today. Please tell me whether you have generally favorable or generally unfavorable impressions of each, or whether you are not familiar enough to say one way or another. George W. Bush.""",Time/CNN Poll conducted by Harris Interactive






